num,img,title,field,organizer,start_day,finish_day,homepage
70,https://www.wevity.com/upload/contest/20240604081911_61cd3dc5.jpg,2024 올해의 과학도서 독후감 대회,"문학, 글, 시나리오","국립중앙과학관, (재)아시아태평양이론물리센터(APCTP)",2024-05-01,2024-08-31,https://www.science.go.kr/board/view?pageNum=1&rowCnt=10&no1=1460&linkId=4703146&menuId=MENU00477&schType=0&schText=&schStartDate=null&schEndDate=null
71,https://www.wevity.com/upload/contest/20240601193019_a5d8d9a8.jpg,JAGDA 국제 학생 포스터 어워드 2024,"디자인, 캐릭터, 웹툰, 해외",일본그래픽디자인협회,2024-05-01,2024-07-31,https://jagda-gakusei.jp
72,https://www.wevity.com/upload/contest/20240604080358_c5ac37e7.jpg,2024년 경상북도 규제개선 아이디어 공모전,"기획, 아이디어",경상북도,2024-05-16,2024-06-14,https://www.gb.go.kr/Main/page.do?mnu_uid=6789&BD_CODE=gosi_notice&cmd=2&B_NUM=411256701&B_STEP=411256700
73,https://www.wevity.com/upload/contest/20240604075227_86c12f8b.jpg,2024년 불법사금융 예방 대국민 슬로건 공모전,"네이밍, 슬로건",서민금융진흥원,2024-05-31,2024-06-16,https://www.kinfa.or.kr/main.do
74,https://www.wevity.com/upload/contest/20240601191827_4374b53a.jpg,오픈더퓨처 대학생 봉사활동 서포터즈 VM 갓챌 3기 모집,봉사활동,오픈더퓨처,2024-06-03,2024-06-24,http://openthefuture.kr/bbs/board.php?bo_table=rec&wr_id=90
75,https://www.wevity.com/upload/contest/20240601191609_55047bd2.jpg,2024년 연수구시설안전관리공단 ESG 혁신 아이디어 공모전,"기획, 아이디어",연수구시설안전관리공단,2024-06-03,2024-07-03,https://www.ysfsmc.or.kr/bbs/bbsMsgDetail.do?msg_seq=12&bcd=receipt
76,https://www.wevity.com/upload/contest/20240604074113_f30afdda.jpg,2024년 경기도 독서의 달 독서표어 공모전,"네이밍, 슬로건",경기도사이버도서관,2024-06-01,2024-06-17,https://www.library.kr/cyber/page/noticeDetail?boardKey=16661&page=1
77,https://www.wevity.com/upload/contest/20240604065713_678d91d6.jpg,2024년 공무원연금공단 공공데이터 활용 대국민 아이디어 공모전,"기획, 아이디어",공무원연금공단,2024-06-01,2024-06-14,https://www.geps.or.kr/notiCommunication_notice_center/34292
78,https://www.wevity.com/upload/contest/20240604064942_75270d4d.jpg,디지털 관광주민증 쇼츠 영상공모전,"영상, UCC, 사진",문화체육관광부,2024-06-03,2024-07-28,https://korean.visitkorea.or.kr/notice/news_detail.do?nwsid=d6b62e16-572a-47ed-8e1e-1f0d07ae94bd
79,https://www.wevity.com/upload/contest/20240604063623_1597af0c.jpg,MBC 엠빅과 함께하는 골프 굿즈 디자인 콘테스트,"디자인, 캐릭터, 웹툰",오지큐,2024-06-01,2024-06-30,https://grafolio.ogq.me/board/notice/4f3fdc02648043f9b4deac82b6b6335b
